stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\game\project\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   1.46980] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46981] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.46982] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46983] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.46984] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46985] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46986] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46988] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46990] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.46991] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46992] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.46993] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.46994] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.46995] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46996] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46997] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.46998] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.46999] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47001] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.47001] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47003] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.47004] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47005] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.47006] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47007] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.47008] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.47009] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.47010] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47011] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.47012] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47013] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.47014] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.47015] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.47016] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47017] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47019] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47020] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47021] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47022] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47023] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47024] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47025] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47028] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47029] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47030] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47031] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47032] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47033] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47034] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47035] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47036] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47038] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47039] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47040] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47041] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47042] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47043] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47044] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47045] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47046] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47047] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.47049] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.47050] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.47051] Single Buffer requirement not met.
